  ;US_ID;Description;Acceptance Criterias;Priority;Point;Assign;Test Type;;;;;;;;;;;;;;;;;;
;US_015;Bir yönetici olarak API baglantisi üzerinden belirtilen id numarasýna sahip course price plan bilgilerini silebilmek istiyorum.;"/api/deletePricePlan/{id} endpoint'ine gecerli authorization bilgileri ve dogru (id) iceren bir DELETE request gönderildiginde dönen status code'in 200, response body'deki remark bilgisinin ""success"" ve Message bilgisinin de ""Successfully Deleted."" oldugu dogrulanmali.";High;;;Backend (API);;;;;;;;;;;;;;;;;;
;;;"/api/deletePricePlan/{id} endpoint'ine gecerli authorization bilgileri ve kaydý olmayan bir (id) iceren bir DELETE request gönderildiginde dönen status code'in 203, response body'deki remark bilgisinin ""failed"" ve message bilgisinin de ""There is not ticket for this id."" oldugu,  (id) icermeyen bir DELETE request gönderildiginde de dönen status code'in 203, response body'deki remark bilgisinin ""failed"" ve message bilgisinin de ""No id"" oldugu dogrulanmali.";;;;;;;;;;;;;;;;;;;;;;
;;;"/api/deletePricePlan/{id} endpoint'ine gecersiz (invalid token) authorization bilgileri ile dogru (id) iceren bir DELETE request gönderildiginde dönen status code'in 401 oldugu ve response body'deki message bilgisinin ""Unauthenticated."" oldugu dogrulanmali";;;;;;;;;;;;;;;;;;;;;;
;;;/api/deletePricePlan/{id} endpoint'inden donen response body icindeki Deleted Price Plan Id bilgisinin /api/deletePricePlan/{id} endpoint'inde yazan id path parametresi ile ayni oldugu dogrulanmali.;;;;;;;;;;;;;;;;;;;;;;
;;;"API uzerinden silinmek istenen course price plan kaydinin silindigi, API uzerinden dogrulanmali.
(Response body'de dönen Deleted Price Plan Id ile /api/pricePlan/{id} endpoint'ine GET request gönderilerek kaydýn silindiði doðrulanabilir.)";;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Course FAQ;US_016;Bir yönetici olarak API baðlantýsý üzerinden course faqs'e eriþebilmek istiyorum.;"/api/coursefaqs endpoint'ine gecerli authorization bilgileri ile bir GET request gönderildiginde dönen status code'in 200 ve response body'deki remark bilgisinin ""success"" oldugu dogrulanmali.";Medium;;;Backend (API);;;;;;;;;;;;;;;;;;
;;;id(x) olaninin response body'de donen bilgileri (creator_id, webinar_id, bundle_id, upcoming_course_id, order, created_at, updated_at, title, answer) doðrulanmalý.;;;;;;;;;;;;;;;;;;;;;;
;;;"/api/coursefaqs endpoint'ine gecersiz (invalid token) authorization bilgileri ile bir GET request gönderildiginde dönen status code'in 401 ve response body'deki message bilgisinin ""Unauthenticated."" oldugu dogrulanmali.";;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;US_017;Bir yönetici olarak API baglantisi üzerinden belirtilen id numarasýna sahip course faq'in detaylý bilgilerine erisebilmeliyim.;"/api/coursefaq/{id} endpoint'ine gecerli authorization bilgileri ve dogru data (id) iceren bir GET request gönderildiginde dönen status code'in 200 ve response body'deki remark bilgisinin ""success"" oldugu dogrulanmali.";Low;;;Backend (API);;;;;;;;;;;;;;;;;;
;;;Response body icindeki list datalarýnýn (id, creator_id, webinar_id, bundle_id, upcoming_course_id, order, created_at, updated_at, title, answer) içerikleri doðrulanmali. ;;;;;;;;;;;;;;;;;;;;;;
;;;"/api/coursefaq/{id} endpoint'ine gecerli authorization bilgileri ve kaydý olmayan bir (id) iceren bir GET request gönderildiginde dönen status code'in 203, response body'deki remark bilgisinin ""failed"" ve message bilgisinin de ""There is not course faq for this id."" oldugu, (id) icermeyen bir GET request gönderildiginde de dönen status code'un 203, response body'deki remark bilgisinin ""failed"" ve message bilgisinin de ""No id"" oldugu dogrulanmali.";;;;;;;;;;;;;;;;;;;;;;
;;;"/api/coursefaq/{id} endpoint'ine gecersiz (invalid token) authorization bilgileri ve dogru data (id) iceren bir GET request gönderildiginde dönen status code'in 401 ve response body'deki message bilgisinin ""Unauthenticated."" oldugu dogrulanmali.";;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;US_018;Bir yönetici olarak API baðlantýsý üzerinden yeni bir course faq kaydý olusturabilmek istiyorum.;"/api/addCoursefaq endpoint'ine gecerli authorization bilgileri ve dogru datalar (title, answer, webinar_id) iceren bir POST body gönderildiginde dönen status code'in 200, response body'deki remark bilgisinin ""success"" ve Message bilgisinin de ""Successfully Added."" oldugu dogrulanmali.";High;;;Backend (API);;;;;;;;;;;;;;;;;;
;;;"/api/addCoursefaq endpoint'ine gecerli authorization bilgileri ve data icermeyen bir POST request gönderildiginde dönen status code'in 422 oldugu ve response body'deki message bilgisinin ""The title field is required. (and 1 more error)"" oldugu dogrulanmali";;;;;;;;;;;;;;;;;;;;;;
;;;"/api/addCoursefaq endpoint'ine gecersiz (invalid token) authorization bilgileri ile dogru datalar (title, answer, webinar_id) iceren bir POST body gönderildiginde dönen status code'in 401 oldugu ve response body'deki message bilgisinin ""Unauthenticated."" oldugu dogrulanmali";;;;;;;;;;;;;;;;;;;;;;
;;;"API uzerinden olusturulmak istenen yeni course faq kaydinin olustugu API uzerinden dogrulanmali. 
(Response bodyde dönen Added Course Faq ID ile /api/coursefaq/{id} endpoint'ine GET request gönderilerek kayýt oluþturulduðu doðrulanabilir.)";;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;US_019;Bir yönetici olarak API baglantisi üzerinden belirtilen id numarasýna sahip course faq'in bilgilerini güncelleyebilmek istiyorum.;"/api/updateCoursefaq/{id} endpoint'ine gecerli authorization bilgileri ile dogru (id) ve dogru datalar (title, answer) iceren bir PATCH body gönderildiginde dönen status code'in 200, response body'deki remark bilgisinin ""success"" ve Message bilgisinin de ""Successfully Updated."" oldugu dogrulanmali.";High;;;Backend (API);;;;;;;;;;;;;;;;;;
;;;"/api/updateCoursefaq/{id} endpoint'ine gecerli authorization bilgileri ile dogru (id) ve data icermeyen bir PATCH request gönderildiginde dönen status code'in 203, response body'deki remark bilgisinin ""failed"" ve message bilgisinin de ""There is no information to update."" oldugu dogrulanmali.";;;;;;;;;;;;;;;;;;;;;;
;;;"/api/updateCoursefaq/{id} endpoint'ine gecerli authorization bilgileri ile kaydý olmayan bir (id) ve dogru datalar (title, answer) iceren bir PATCH body gönderildiginde dönen status code'in 203, response body'deki remark bilgisinin ""failed"" ve message bilgisinin de ""There is not course faq for this id."" oldugu, (id) icermeyen ve dogru datalar (title, answer) iceren bir PATCH body gönderildiginde de dönen status code'in 203, response body'deki remark bilgisinin ""failed"" ve message bilgisinin de ""No id"" oldugu dogrulanmali.";;;;;;;;;;;;;;;;;;;;;;
;;;"/api/updateCoursefaq/{id} endpoint'ine gecersiz (invalid token) authorization bilgileri ile dogru (id) ve dogru datalar (title, answer) iceren bir PATCH body gönderildiginde dönen status code'in 401 oldugu ve response body'deki message bilgisinin ""Unauthenticated."" oldugu dogrulanmali";;;;;;;;;;;;;;;;;;;;;;
